"NDC","YEAR","MONTH"
"0002-1407-01",1951,3
"0002-1445-09",2016,3
"0002-1445-11",2016,3
"0002-1445-27",2016,3
"0002-1445-61",2016,4
"0002-3227-07",2003,1
"0002-3227-30",2003,1
"0002-3228-07",2003,1
"0002-3228-30",2003,1
"0002-3229-07",2003,1
"0002-3229-30",2003,1
"0002-3230-30",2007,4
"0002-3231-30",2004,1
"0002-3232-30",2004,1
"0002-3233-30",2004,1
"0002-3234-30",2004,1
"0002-3235-60",2004,8
"0002-3238-07",2003,1
"0002-3238-30",2003,1
"0002-3239-07",2003,1
"0002-3239-30",2003,1
"0002-3240-30",2004,8
"0002-3240-90",2004,8
"0002-3250-07",2005,8
"0002-3250-30",2005,8
"0002-3251-30",2005,8
"0002-3270-04",2010,1
"0002-3270-30",2010,1
"0002-4112-30",1997,6
"0002-4115-30",1996,10
"0002-4116-30",1996,10
"0002-4117-30",1996,10
"0002-4184-02",2016,12
"0002-4184-07",2016,12
"0002-4184-30",2016,12
"0002-4415-30",2000,1
"0002-4420-30",2001,3
"0002-4453-85",2000,6
"0002-4454-85",2000,6
"0002-4455-85",2001,9
"0002-4456-85",2001,9
"0002-4462-30",2003,11
"0002-4462-34",2008,1
"0002-4462-61",2008,1
"0002-4463-30",2003,11
"0002-4464-01",2003,11
"0002-4464-30",2003,11
"0002-4465-34",2008,1
"0002-4483-54",2017,9
"0002-4815-54",2017,9
"0002-5121-30",2012,3
"0002-5121-52",2012,3
"0002-5123-07",2012,3
"0002-5123-30",2012,3
"0002-5123-77",2012,3
"0002-5337-54",2017,9
"0002-5800-62",2014,8
"0002-5801-62",2014,8
"0002-5802-62",2014,8
"0002-6216-54",2017,9
"0002-7140-01",1993,12
"0002-7190-01",2017,2
"0002-7335-11",1987,4
"0002-7501-01",1996,5
"0002-7502-01",1996,5
"0002-7510-01",1996,7
"0002-7510-17",1996,7
"0002-7510-99",1996,7
"0002-7511-01",2000,10
"0002-7512-01",2006,2
"0002-7512-99",2006,10
"0002-7516-59",2000,7
"0002-7516-99",2000,7
"0002-7597-01",2004,4
"0002-7623-01",2004,2
"0002-7669-01",2014,4
"0002-7678-01",2014,4
"0002-7712-27",2015,5
"0002-7712-99",2015,5
"0002-7714-61",2017,10
"0002-7715-59",2016,6
"0002-7715-63",2016,7
"0002-7716-01",2015,11
"0002-7724-09",2016,3
"0002-7724-11",2016,3
"0002-7724-27",2016,3
"0002-8031-01",1999,3
"0002-8147-01",2006,1
"0002-8148-01",2006,1
"0002-8149-01",2006,1
"0002-8215-01",1983,6
"0002-8215-17",2009,12
"0002-8215-99",1999,1
"0002-8315-01",1983,6
"0002-8315-17",2010,6
"0002-8315-99",1983,6
"0002-8400-99",2008,10
"0002-8501-01",1997,1
"0002-8715-01",1989,6
"0002-8715-17",2011,4
"0002-8715-99",1993,8
"0002-8797-99",2008,1
"0002-8798-99",2008,1
"0002-8799-99",2008,1
"0002-8803-59",2013,11
"0002-8803-61",2015,4
"0002-8805-59",2013,11
"0002-8805-99",2013,11
"0002-8926-01",2016,10
"0003-0011-01",2016,5
"0003-0213-01",2015,7
"0003-0215-01",2015,7
"0003-0371-13",2011,6
