"RXCUI","NDC","YEAR","MONTH"
540930,"0002-0800-01",1987,7
311026,"0002-8315-01",1983,6
311026,"0002-8315-17",2010,6
311026,"0002-8315-99",1983,6
847199,"0002-8805-59",2013,11
847199,"0002-8805-99",2013,11
206550,"0003-0249-15",2009,1
206550,"0003-0249-20",2009,1
1094840,"0003-2327-11",2011,3
1094840,"0003-2328-22",2011,3
616447,"0004-0259-01",1995,5
616447,"0004-0259-43",1995,5
616435,"0004-0260-01",1997,6
616435,"0004-0260-43",1997,6
616444,"0004-0261-29",1998,10
213394,"0004-0298-09",1998,8
1593140,"0005-0100-02",2014,11
1593140,"0005-0100-05",2014,11
1593140,"0005-0100-10",2014,11
901644,"0005-1971-02",2010,3
901644,"0005-1971-05",2010,3
1731082,"0006-3061-00",2017,2
1731082,"0006-3941-32",2010,11
754529,"0006-4045-00",2006,6
754529,"0006-4045-41",2006,6
798300,"0006-4047-20",2006,2
759461,"0006-4047-41",2006,2
830253,"0006-4093-02",1986,7
830252,"0006-4093-09",1986,7
830245,"0006-4094-02",1986,7
830243,"0006-4094-09",1986,7
836636,"0006-4095-02",1996,3
836634,"0006-4096-02",1996,3
798278,"0006-4109-02",2006,6
798278,"0006-4109-09",2006,6
1597099,"0006-4119-02",2014,12
1597099,"0006-4119-03",2014,12
1597103,"0006-4121-02",2014,12
1292443,"0006-4171-00",2015,7
540930,"0006-4309-00",2006,5
804186,"0006-4681-00",1971,4
1292459,"0006-4826-00",1995,3
1292459,"0006-4827-00",1995,3
1658106,"0006-4831-41",1996,3
854981,"0006-4837-02",2014,7
854981,"0006-4837-03",2014,7
1658106,"0006-4841-00",1996,3
1658106,"0006-4841-41",1996,3
798451,"0006-4897-00",1989,12
854981,"0006-4943-00",1983,7
1292435,"0006-4963-00",2006,5
1292435,"0006-4963-41",2006,5
1658155,"0006-4981-00",1986,7
830263,"0006-4992-00",1986,7
1658155,"0006-4995-00",1986,7
1658155,"0006-4995-41",1986,7
795461,"0006-5424-02",2014,12
1858981,"0008-0423-03",2016,10
206538,"0009-0436-01",1976,6
542345,"0009-5400-01",1997,5
206289,"0009-7224-02",1981,11
212025,"0013-2626-81",1995,12
213352,"0013-2646-81",1995,12
206198,"0019-0953-03",2003,10
206198,"0019-0953-09",2003,10
206198,"0019-0953-11",2003,10
206198,"0019-0953-13",2003,10
206198,"0019-0953-15",2003,10
152843,"0019-1323-00",2012,3
152843,"0019-1323-02",2012,3
152843,"0019-1323-04",2012,3
152843,"0019-1323-06",2012,3
152843,"0019-1323-11",2012,3
152843,"0019-1323-16",2012,3
152843,"0019-1323-21",2012,3
152843,"0019-1323-27",2012,3
152843,"0019-1323-55",2012,3
152843,"0019-1323-61",2011,10
562152,"0019-1323-73",2012,3
152843,"0019-1323-75",2012,3
152843,"0019-1323-77",2012,3
152843,"0019-1323-81",2012,3
152843,"0019-1323-83",2012,3
152843,"0019-1323-85",2012,3
562152,"0019-1323-91",2012,3
152841,"0019-1324-06",2012,3
152841,"0019-1324-11",2012,3
152841,"0019-1324-21",2012,3
152841,"0019-1324-27",2012,3
152841,"0019-1324-75",2012,3
152841,"0019-1324-81",2012,3
152842,"0019-1332-00",2012,3
562151,"0019-1332-06",2012,3
562151,"0019-1332-11",2012,3
562151,"0019-1332-16",2012,3
562151,"0019-1332-21",2012,3
562151,"0019-1332-61",2011,10
562151,"0019-1332-75",2012,3
152842,"0019-1332-83",2012,3
152844,"0019-1333-00",2012,3
152844,"0019-1333-06",2012,3
152844,"0019-1333-11",2012,3
152844,"0019-1333-16",2012,3
152844,"0019-1333-21",2012,3
152844,"0019-1333-27",2012,3
562153,"0019-1333-51",2011,10
152844,"0019-1333-55",2012,3
562153,"0019-1333-61",2011,10
152844,"0019-1333-75",2012,3
152844,"0019-1333-77",2012,3
152844,"0019-1333-81",2012,3
152844,"0019-1333-83",2012,3
152844,"0019-1333-85",2012,3
562153,"0019-1333-91",2012,3
282454,"0019-3183-05",2010,10
206196,"0019-3183-09",2010,10
206196,"0019-3183-15",2010,10
1188426,"0023-0403-05",1996,10
1188426,"0023-0403-10",1996,10
1188426,"0023-0403-30",1996,10
1188426,"0023-0403-50",1996,10
1188426,"0023-0403-70",1996,10
359969,"0023-0506-01",1985,9
359969,"0023-0506-50",1985,9
1188426,"0023-0798-01",1997,5
1188426,"0023-0798-02",1997,5
1188426,"0023-0798-03",1997,5
1188426,"0023-0798-04",1997,5
359969,"0023-0798-15",1997,5
860195,"0023-1145-01",1989,12
860195,"0023-1145-02",1989,12
1726296,"0023-3919-50",2008,7
1726296,"0023-3919-51",2008,7
1726296,"0023-3921-02",2010,1
897368,"0023-3921-03",2010,1
579907,"0023-4554-05",1989,10
579907,"0023-4554-30",1989,10
206216,"0023-6082-10",1974,4
579907,"0023-9205-02",2001,10
579907,"0023-9205-03",2001,10
579907,"0023-9205-15",2001,10
1726296,"0023-9232-01",2008,5
1726296,"0023-9232-02",2008,5
261123,"0024-2792-10",2011,3
261123,"0024-2794-10",2014,7
2055664,"0026-3942-25",2018,8
2055664,"0026-3944-25",2018,8
2055664,"0026-3946-25",2018,8
2055664,"0026-3948-25",2018,8
