"NDC","YEAR","MONTH"
"0002-1200-30",2012,6
"0002-1200-50",2012,6
"0003-0893-91",2012,12
"0019-0862-50",2010,10
"0019-0952-53",2012,3
"0019-0953-05",2003,10
"0019-0953-10",2003,10
"0019-0953-23",2003,10
"0019-0953-50",2003,10
"0019-1177-11",2012,1
"0019-1177-16",2012,1
"0019-1177-21",2012,1
"0019-1177-31",2012,1
"0019-1323-52",2012,3
"0019-1323-70",2012,3
"0019-1323-78",2012,3
"0019-1323-87",2012,3
"0019-1323-90",2012,3
"0019-1323-95",2012,3
"0019-1324-78",2012,3
"0019-1324-87",2012,3
"0019-1332-78",2012,3
"0019-1332-90",2012,3
"0019-1332-91",2012,3
"0019-1333-52",2012,3
"0019-1333-78",2012,3
"0019-1333-87",2012,3
"0019-1333-90",2012,3
"0019-1333-95",2012,3
"0019-3183-50",2010,10
"0019-4816-04",2009,8
"0023-4953-02",2013,1
"0023-4953-13",2013,1
"0023-5494-01",2015,6
"0023-5494-23",2015,6
"0023-5494-25",2015,6
"0023-5497-01",2015,6
"0023-5497-08",2015,6
"0023-5497-23",2015,6
"0023-5497-25",2015,6
"0023-5501-01",2015,6
"0023-5501-03",2015,6
"0023-5501-25",2015,6
"0023-5675-08",2016,3
"0023-5675-13",2016,3
"0023-5675-17",2016,3
"0023-5675-25",2016,3
"0023-5703-08",2016,3
"0023-5703-17",2016,3
"0023-5703-25",2016,3
"0023-5738-18",2016,3
"0023-5738-25",2016,3
"0023-6010-01",1990,10
"0024-5803-90",2017,7
"0024-5804-05",2017,7
"0024-5869-00",2015,2
"0024-5871-01",2018,3
"0024-5871-02",2018,3
"0037-0083-30",2015,2
"0037-0084-90",2015,4
"0037-0086-30",2015,4
"0043-0151-27",2008,1
"0054-0407-13",2018,3
"0064-1080-11",2006,1
"0065-0800-50",1982,6
"0065-1501-10",2015,6
"0065-1501-11",2015,6
"0067-6296-01",2018,3
"0067-6297-01",2018,3
"0067-8147-01",2017,6
"0078-0675-15",2018,3
"0085-1132-04",2018,3
"0093-0882-02",1998,10
"0093-3008-93",2018,3
"0093-3009-93",2018,3
"0093-8072-56",2018,3
"0093-8073-16",2018,3
"0093-8076-56",2018,3
"0096-0682-04",1996,6
"0096-0685-04",1996,6
"0096-0687-04",1996,6
"0096-0688-04",1996,6
"0096-0741-04",1996,6
"0113-0134-03",2017,12
"0113-0298-58",2018,2
"0113-0701-16",2018,2
"0113-0795-21",2018,3
"0113-7117-01",2018,3
"0113-7117-04",2018,3
"0113-7224-68",2018,3
