"ATC4","ATC4_NAME"
"C01BA","Antiarrhythmics, class Ia"
"A10BJ","Glucagon-like peptide-1 (GLP-1) analogues"
"L04AC","Interleukin inhibitors"
"G03BA","3-oxoandrosten (4) derivatives"
"N06BA","Centrally acting sympathomimetics"
"N06AB","Selective serotonin reuptake inhibitors"
"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"N06AX","Other antidepressants"
"G03XC","Selective estrogen receptor modulators"
"G04BE","Drugs used in erectile dysfunction"
"B01AC","Platelet aggregation inhibitors excl. heparin"
"L01XC","Monoclonal antibodies"
"H01AC","Somatropin and somatropin agonists"
"L01BC","Pyrimidine analogues"
"A10AB","Insulins and analogues for injection, fast-acting"
"A10AC","Insulins and analogues for injection, intermediate-acting"
"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
"L01BA","Folic acid analogues"
"A10AE","Insulins and analogues for injection, long-acting"
"H04AA","Glycogenolytic hormones"
"A10AF","Insulins and analogues for inhalation"
"H05AA","Parathyroid hormones and analogues"
"J05AP","Antivirals for treatment of HCV infections"
"A01AC","Corticosteroids for local oral treatment"
"C05AA","Corticosteroids"
"D07AB","Corticosteroids, moderately potent (group II)"
"D07XB","Corticosteroids, moderately potent, other combinations"
"H02AB","Glucocorticoids"
"R01AD","Corticosteroids"
"R03BA","Glucocorticoids"
"S01BA","Corticosteroids, plain"
"L04AA","Selective immunosuppressants"
"L01XE","Protein kinase inhibitors"
"L01XX","Other antineoplastic agents"
"B01AF","Direct factor Xa inhibitors"
"J05AF","Nucleoside and nucleotide reverse transcriptase inhibitors"
"J01DF","Monobactams"
"J05AE","Protease inhibitors"
"V03AX","Other therapeutic products"
"J05AR","Antivirals for treatment of HIV infections, combinations"
"C10AA","HMG CoA reductase inhibitors"
"J05AB","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"N03AE","Benzodiazepine derivatives"
"M05BA","Bisphosphonates"
"A08AB","Peripherally acting antiobesity products"
"L03AB","Interferons"
"J05AX","Other antivirals"
"B03XA","Other antianemic preparations"
"J05AH","Neuraminidase inhibitors"
"G02CC","Antiinflammatory products for vaginal administration"
"M01AE","Propionic acid derivatives"
"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"S01AD","Antivirals"
"A06AC","Bulk-forming laxatives"
"N05CM","Other hypnotics and sedatives"
"C09AA","ACE inhibitors, plain"
"D11AX","Other dermatologicals"
"P02CF","Avermectines"
"G04CB","Testosterone-5-alpha reductase inhibitors"
"A10BH","Dipeptidyl peptidase 4 (DPP-4) inhibitors"
"A10BA","Biguanides"
"A10BD","Combinations of oral blood glucose lowering drugs"
"N02CC","Selective serotonin (5HT1) agonists"
"A11CC","Vitamin D and analogues"
"A04AD","Other antiemetics"
"C09CA","Angiotensin II antagonists, plain"
"C03AA","Thiazides, plain"
"R03DC","Leukotriene receptor antagonists"
"J06BB","Specific immunoglobulins"
"J01DH","Carbapenems"
"S01EC","Carbonic anhydrase inhibitors"
"J02AX","Other antimycotics for systemic use"
"N04BA","Dopa and dopa derivatives"
"L04AB","Tumor necrosis factor alpha (TNF-) inhibitors"
"V03AB","Antidotes"
"C07AG","Alpha and beta blocking agents"
"C03DB","Other potassium-sparing agents"
"L01BB","Purine analogues"
"B01AE","Direct thrombin inhibitors"
"B02BX","Other systemic hemostatics"
"N04BC","Dopamine agonists"
"L01CA","Vinca alkaloids and analogues"
"A02BC","Proton pump inhibitors"
"S01XA","Other ophthalmologicals"
"G03CC","Estrogens, combinations with other drugs"
"G03CA","Natural and semisynthetic estrogens, plain"
"J04AD","Thiocarbamide derivatives"
"J01AA","Tetracyclines"
"D07AA","Corticosteroids, weak (group I)"
"D10AA","Corticosteroids, combinations for treatment of acne"
"A07EA","Corticosteroids acting locally"
"D07XA","Corticosteroids, weak, other combinations"
"S01CB","Corticosteroids/antiinfectives/mydriatics in combination"
"S02BA","Corticosteroids"
"N05CD","Benzodiazepine derivatives"
"N05BA","Benzodiazepine derivatives"
"G03AC","Progestogens"
"G03DA","Pregnen (4) derivatives"
"L02AB","Progestogens"
"D10AF","Antiinfectives for treatment of acne"
"G01AA","Antibiotics"
"J01FF","Lincosamides"
"D06AX","Other antibiotics for topical use"
"J01XX","Other antibacterials"
"R02AB","Antibiotics"
"C10AC","Bile acid sequestrants"
"A10BB","Sulfonylureas"
"G02AD","Prostaglandins"
"C01EA","Prostaglandins"
"C01BD","Antiarrhythmics, class III"
"G04BD","Drugs for urinary frequency and incontinence"
"A10BF","Alpha glucosidase inhibitors"
"L01DB","Anthracyclines and related substances"
"H01AX","Other anterior pituitary lobe hormones and analogues"
"N07BA","Drugs used in nicotine dependence"
"L02BG","Aromatase inhibitors"
"A07EC","Aminosalicylic acid and similar agents"
"B02AA","Amino acids"
"J04AB","Antibiotics"
"S01EE","Prostaglandin analogues"
"V03AF","Detoxifying agents for antineoplastic treatment"
"G03DB","Pregnadien derivatives"
"L01CB","Podophyllotoxin derivatives"
"A12CA","Sodium"
"B05CB","Salt solutions"
"B05XA","Electrolyte solutions"
"D05AX","Other antipsoriatics for topical use"
"J01GB","Other aminoglycosides"
"S01AA","Antibiotics"
"S02AA","Antiinfectives"
"S03AA","Antiinfectives"
"S03BA","Corticosteroids"
"A06AA","Softeners, emollients"
"S01AB","Sulfonamides"
"M01AB","Acetic acid derivatives and related substances"
"S01BC","Antiinflammatory agents, non-steroids"
"A06AG","Enemas"
"A06AX","Other drugs for constipation"
"J01MA","Fluoroquinolones"
"S01AE","Fluoroquinolones"
"D10AX","Other anti-acne preparations for topical use"
"J04BA","Drugs for treatment of lepra"
"S01GX","Other antiallergics"
"S01ED","Beta blocking agents"
"P01CX","Other agents against leishmaniasis and trypanosomiasis"
"D01AE","Other antifungals for topical use"
"D10AE","Peroxides"
"R01AA","Sympathomimetics, plain"
"R01AB","Sympathomimetics, combinations excl. corticosteroids"
"S01GA","Sympathomimetics used as decongestants"
"L04AD","Calcineurin inhibitors"
"G03AD","Emergency contraceptives"
"B03AA","Iron bivalent, oral preparations"
"B03AD","Iron in combination with folic acid"
"G03AA","Progestogens and estrogens, fixed combinations"
"G03AB","Progestogens and estrogens, sequential preparations"
"L02AA","Estrogens"
"G03DC","Estren derivatives"
"D07AC","Corticosteroids, potent (group III)"
"C07AB","Beta blocking agents, selective"
"L02AE","Gonadotropin releasing hormone analogues"
"A01AB","Antiinfectives and antiseptics for local oral treatment"
"D06BX","Other chemotherapeutics"
"G01AF","Imidazole derivatives"
"J01XD","Imidazole derivatives"
"P01AB","Nitroimidazole derivatives"
"N02BE","Anilides"
"R05DA","Opium alkaloids and derivatives"
"N02AA","Natural opium alkaloids"
"A09AA","Enzyme preparations"
"D06BB","Antivirals"
"G04CA","Alpha-adrenoreceptor antagonists"
"A05AA","Bile acids and derivatives"
"J01EA","Trimethoprim and derivatives"
"A07AA","Antibiotics"
"J01XB","Polymyxins"
"R01AC","Antiallergic agents, excl. corticosteroids"
"R03BC","Antiallergic agents, excl. corticosteroids"
"S01EA","Sympathomimetics in glaucoma therapy"
"R06AX","Other antihistamines for systemic use"
"C07AA","Beta blocking agents, non-selective"
"N02AB","Phenylpiperidine derivatives"
"L01XA","Platinum compounds"
"P01BA","Aminoquinolines"
"N05CF","Benzodiazepine related drugs"
"R06AE","Piperazine derivatives"
"L01CD","Taxanes"
"S01LA","Antineovascularisation agents"
"L03AA","Colony stimulating factors"
"L03AX","Other immunostimulants"
"C10AX","Other lipid modifying agents"
"D11AH","Agents for dermatitis, excluding corticosteroids"
"A03BA","Belladonna alkaloids, tertiary amines"
"S01FA","Anticholinergics"
"A07DA","Antipropulsives"
"H01CA","Gonadotropin-releasing hormones"
"C03DA","Aldosterone antagonists"
"A02BB","Prostaglandins"
"M01AH","Coxibs"
"C08DA","Phenylalkylamine derivatives"
"B02BD","Blood coagulation factors"
"R01AX","Other nasal preparations"
"R06AB","Substituted alkylamines"
"C01CA","Adrenergic and dopaminergic agents"
"R01BA","Sympathomimetics"
"S01FB","Sympathomimetics excl. antiglaucoma preparations"
"D04AA","Antihistamines for topical use"
"R06AA","Aminoalkyl ethers"
"R05CA","Expectorants"
"N03AX","Other antiepileptics"
"A07EB","Antiallergic agents, excl. corticosteroids"
"M03BA","Carbamic acid esters"
"C03CA","Sulfonamides, plain"
"M01CC","Penicillamine and similar agents"
"A11GA","Ascorbic acid (vitamin C), plain"
"G01AD","Organic acids"
"B03BB","Folic acid and derivatives"
"A11HA","Other plain vitamin preparations"
"G04BX","Other urologicals"
"V04CG","Tests for gastric secretion"
"D06BA","Sulfonamides"
"J01EB","Short-acting sulfonamides"
"A06AD","Osmotically acting laxatives"
"A12BA","Potassium"
"C05AD","Local anesthetics"
"D04AB","Anesthetics for topical use"
"B03BA","Vitamin B12 (cyanocobalamin and analogues)"
"A01AA","Caries prophylactic agents"
"A12CD","Fluoride"
"B05CA","Antiinfectives"
"D08AJ","Quaternary ammonium compounds"
"D09AA","Medicated dressings with antiinfectives"
"R02AA","Antiseptics"
"S01EB","Parasympathomimetics"
