"ATC4","ATC4_NAME"
"N04AC","Ethers of tropine or tropine derivatives"
"V03AE","Drugs for treatment of hyperkalemia and hyperphosphatemia"
"N06AB","Selective serotonin reuptake inhibitors"
"N05BE","Azaspirodecanedione derivatives"
"N06AX","Other antidepressants"
"N05AX","Other antipsychotics"
"C09AA","ACE inhibitors, plain"
"N03AF","Carboxamide derivatives"
"J01EC","Intermediate-acting sulfonamides"
"J01EA","Trimethoprim and derivatives"
"J01EE","Combinations of sulfonamides and trimethoprim, incl. derivatives"
"B03AA","Iron bivalent, oral preparations"
"B03AD","Iron in combination with folic acid"
"C10AA","HMG CoA reductase inhibitors"
"R03DC","Leukotriene receptor antagonists"
"N03AX","Other antiepileptics"
"G04CA","Alpha-adrenoreceptor antagonists"
"N05AA","Phenothiazines with aliphatic side-chain"
"C02AC","Imidazoline receptor agonists"
"N02CX","Other antimigraine preparations"
"S01EA","Sympathomimetics in glaucoma therapy"
"M04AA","Preparations inhibiting uric acid production"
"N04BB","Adamantane derivatives"
"A02BC","Proton pump inhibitors"
"C08DA","Phenylalkylamine derivatives"
"N05AB","Phenothiazines with piperazine structure"
"J01DB","First-generation cephalosporins"
"A10BB","Sulfonylureas"
"H03AA","Thyroid hormones"
"M03BX","Other centrally acting agents"
"H03BB","Sulfur-containing imidazole derivatives"
"R06AX","Other antihistamines for systemic use"
"M03BA","Carbamic acid esters"
"N05BB","Diphenylmethane derivatives"
"C03AA","Thiazides, plain"
"A01AB","Antiinfectives and antiseptics for local oral treatment"
"J01AA","Tetracyclines"
"A06AC","Bulk-forming laxatives"
"B01AA","Vitamin K antagonists"
"J04AK","Other drugs for treatment of tuberculosis"
"C09CA","Angiotensin II receptor blockers (ARBs), plain"
"C03DA","Aldosterone antagonists"
"R03DA","Xanthines"
"C03DB","Other potassium-sparing agents"
"J05AF","Nucleoside and nucleotide reverse transcriptase inhibitors"
"J05AR","Antivirals for treatment of HIV infections, combinations"
"C03CA","Sulfonamides, plain"
"B01AC","Platelet aggregation inhibitors excl. heparin"
"B03BB","Folic acid and derivatives"
"C01AA","Digitalis glycosides"
"J05AE","Protease inhibitors"
"C07AB","Beta blocking agents, selective"
"C02CA","Alpha-adrenoreceptor antagonists"
"C07AG","Alpha and beta blocking agents"
"A01AD","Other agents for local oral treatment"
"N02BA","Salicylic acid and derivatives"
"C08CA","Dihydropyridine derivatives"
"C02DC","Pyrimidine derivatives"
"D11AX","Other dermatologicals"
"A10BA","Biguanides"
"N03AB","Hydantoin derivatives"
"J04AC","Hydrazides"
"G02CC","Antiinflammatory products for vaginal administration"
"M01AE","Propionic acid derivatives"
"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"A03AA","Synthetic anticholinergics, esters with tertiary amino group"
"C02DB","Hydrazinophthalazine derivatives"
"C01BD","Antiarrhythmics, class III"
"J05AG","Non-nucleoside reverse transcriptase inhibitors"
"J01MA","Fluoroquinolones"
"S01AE","Fluoroquinolones"
"S02AA","Antiinfectives"
"S03AA","Antiinfectives"
"C03BA","Sulfonamides, plain"
"D04AA","Antihistamines for topical use"
"R06AA","Aminoalkyl ethers"
"A06AB","Contact laxatives"
"P01BA","Aminoquinolines"
"R06AE","Piperazine derivatives"
"A04AA","Serotonin (5HT3) antagonists"
