"ndc","rxcui","in_rxcui","has_min","in_tty","in_name","in_synonym","in_umlscui","atc5","ddd","u","adm_r","whocc_note"
"00002035102",849295,161,TRUE,"IN","Acetaminophen",NA,"C0000970","N02BE01",3,"g","O",NA
"00002035102",849295,8785,TRUE,"IN","Propoxyphene","dextropropoxyphene","C0033493","N02AC04",0.3,"g","O","napsylate"
"00002035102",849295,48274,TRUE,"MIN","Acetaminophen / Propoxyphene",NA,"C1384520",NA,NA,NA,NA,NA
"00002035302",827750,8785,FALSE,"IN","Propoxyphene","dextropropoxyphene","C0033493","N02AC04",0.3,"g","O","napsylate"
"00002036302",828576,161,TRUE,"IN","Acetaminophen",NA,"C0000970","N02BE01",3,"g","O",NA
"00002036302",828576,8785,TRUE,"IN","Propoxyphene","dextropropoxyphene","C0033493","N02AC04",0.3,"g","O","napsylate"
"00002036302",828576,48274,TRUE,"MIN","Acetaminophen / Propoxyphene",NA,"C1384520",NA,NA,NA,NA,NA
"00002036303",828576,161,TRUE,"IN","Acetaminophen",NA,"C0000970","N02BE01",3,"g","O",NA
"00002036303",828576,8785,TRUE,"IN","Propoxyphene","dextropropoxyphene","C0033493","N02AC04",0.3,"g","O","napsylate"
"00002036303",828576,48274,TRUE,"MIN","Acetaminophen / Propoxyphene",NA,"C1384520",NA,NA,NA,NA,NA
"00002036333",828576,161,TRUE,"IN","Acetaminophen",NA,"C0000970","N02BE01",3,"g","O",NA
"00002036333",828576,8785,TRUE,"IN","Propoxyphene","dextropropoxyphene","C0033493","N02AC04",0.3,"g","O","napsylate"
"00002036333",828576,48274,TRUE,"MIN","Acetaminophen / Propoxyphene",NA,"C1384520",NA,NA,NA,NA,NA
"00002060440",212797,3007,FALSE,"IN","Cycloserine",NA,"C0010590","J04AB01",0.75,"g","O",NA
"00002080302",849279,8785,FALSE,"IN","Propoxyphene","dextropropoxyphene","C0033493","N02AC04",0.3,"g","O","napsylate"
"00002101002",997287,2670,FALSE,"IN","Codeine",NA,"C0009214","R05DA04",0.1,"g","O",NA
"00002300475",598032,4493,FALSE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002311102",834786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00002312542",201848,11124,FALSE,"IN","Vancomycin",NA,"C0042313","A07AA09",2,"g","O",NA
"00002312542",201848,11124,FALSE,"IN","Vancomycin",NA,"C0042313","J01XA01",2,"g","P",NA
"00002312642",201849,11124,FALSE,"IN","Vancomycin",NA,"C0042313","A07AA09",2,"g","O",NA
"00002312642",201849,11124,FALSE,"IN","Vancomycin",NA,"C0042313","J01XA01",2,"g","P",NA
"00002314530",198041,42319,FALSE,"IN","Nizatidine",NA,"C0085154","A02BA04",0.3,"g","P",NA
"00002317030",197898,28981,FALSE,"IN","loracarbef",NA,"C0065295","J01DC08",0.6,"g","O",NA
"00002322730",352317,38400,FALSE,"IN","atomoxetine",NA,"C0076823","N06BA09",80,"mg","O",NA
"00002322830",352319,38400,FALSE,"IN","atomoxetine",NA,"C0076823","N06BA09",80,"mg","O",NA
"00002322930",352320,38400,FALSE,"IN","atomoxetine",NA,"C0076823","N06BA09",80,"mg","O",NA
"00002323130",725064,4493,TRUE,"IN","Fluoxetine",NA,"C0016365","N06AB03",20,"mg","O",NA
"00002323130",725064,61381,TRUE,"IN","olanzapine",NA,"C0171023","N05AH03",10,"mg","P","depot"
